job_id,title,company,location,salary_raw,jd_raw,source,jd_text,salary_min,salary_max,salary_currency,skills
indeed_2_50,Data Scientist / Analyst - Systematic Data Platform,Millennium Management,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,"(Senior) Forward Deployed AI Scientist, Greater China - BCG X",Boston Consulting Group,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_16,Quantitative Researcher – Machine Learning,Point72,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,Chair Professor/Professor/Associate Professor/Assistant Professor in the Department of Systems Engineering,City University of Hong Kong,"Kowloon Tong, Kowloon",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,Postdoctoral Fellow in the Department of Data Science (Appointment for 12 months),City University of Hong Kong,"Kowloon Tong, Kowloon",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_25,Professor/Associate Professor/Assistant Professor in the Department of Architecture and Civil Engineering,City University of Hong Kong,"Kowloon Tong, Kowloon",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_29,Chair Professor/Professor/Associate Professor in the Department of Architecture and Civil Engineering,City University of Hong Kong,"Kowloon Tong, Kowloon",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_16,Binance Accelerator Program - Software Engineer (AI/LLM Experience a Plus),Binance,Remote,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,AI Analyst,Winson Group,Hong Kong,"月薪 $20,000 起","月薪 $20,000 起合約",indeed,"月薪 20,000 起合約",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,"Summer Intern, Data Engineering",Wizpresso,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_29,"Senior DevSecOps Engineer (Security, AI)",Binance,Remote,,在家工作,indeed,在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_42,Senior Business Architect,HSBC Global Services Limited,"Central, Hong Kong Island",,全職在職專業培訓,indeed,全職在職專業培訓,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_16,"Binance Accelerator Program - AI Engineer, Dev Tools",Binance,Remote,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,Consultant - AI Engineer,Sia,"Wan Chai, Hong Kong Island",,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_25,Data Scientist(LLM),Binance,Remote,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_26,"Director, GenAI Digital Delivery",FWD Insurance,"Taikoo Shing, Hong Kong Island",,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_34,Pioneer Talent Program - AI Agent Developer,Binance,Remote,,在家工作,indeed,在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_38,"Pioneer Talent Program - AI Engineer, Dev Tools",Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_42,Pioneer Talent Program - AI-powered Productivity Platform Engineer,Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,Prompt Engineer / AI Creative Technologist,Human Prompt,Hong Kong,"月薪 $20,000 起","月薪 $20,000 起全職",indeed,"月薪 20,000 起全職",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
